,year,gross,genre
354,2001,1.48,Drama
355,2013,25.57,Drama
356,2021,,Comedy
357,2015,228.43,Adventure
358,2006,167.45,Action
359,2012,623.28,Action
360,1990,184.21,Adventure
361,2005,74.1,Crime
362,1974,86.3,Comedy
363,2004,261.44,Animation
364,2016,341.27,Animation
365,1991,70.41,Drama
366,2010,138.8,Biography
367,1993,70.91,Comedy
368,1968,,Drama
369,1988,178.8,Drama
370,2004,66.21,Action
371,1992,63.9,Drama
372,2020,,Animation
373,2003,1.53,Crime
374,1992,217.35,Animation
375,1999,22.46,Drama
376,1995,57.14,Mystery
377,1967,104.95,Comedy
378,1989,27.55,Comedy
379,2003,66.26,Adventure
380,2006,163.57,Biography
381,1968,33.4,Adventure
382,1999,6.2,Biography
383,1975,50.0,Biography
384,1947,,Crime
385,2006,57.37,Adventure
386,2008,141.32,Crime
387,1988,0.55,Animation
388,1991,218.97,Animation
389,2016,,Crime
390,1997,0.78,Animation
391,1994,0.6,Comedy
392,1969,102.31,Biography
393,1977,39.2,Comedy
394,2016,51.74,Biography
395,1979,20.05,Comedy
396,2014,3.49,Drama
397,1972,,Drama
398,1996,24.48,Drama
399,1959,12.54,Drama
400,2007,227.47,Action
401,1973,53.27,Biography
402,1955,0.65,Crime
403,1971,29.13,Drama
404,2008,,Action
405,2005,61.65,Biography
406,1953,,Comedy
407,1963,0.05,Drama
408,1984,0.5,Animation
409,1986,,Animation
410,1960,19.52,Comedy
411,1982,52.77,Biography
412,1987,3.33,Drama
413,1982,22.24,Drama
414,1975,0.18,Biography
415,1971,80.5,Drama
416,1962,4.05,Drama
417,1941,2.11,Crime
418,1961,8.28,Drama
419,1982,,Adventure
420,1959,11.9,Drama
421,1952,9.45,Drama
422,1963,,Drama
423,2002,0.17,Action
424,1967,0.04,Crime
425,1966,,Drama
426,2020,,Animation
427,1945,,Drama
428,1958,2.24,Crime
429,1996,13.42,Comedy
430,2013,1.51,Animation
431,1920,,Horror
432,2015,6.74,Action
433,1998,0.26,Drama
434,2007,0.01,Action
435,1983,0.01,Drama
436,2014,0.86,Animation
437,2001,,Comedy
438,2004,0.68,Drama
439,1953,,Comedy
440,2020,,Drama
441,1957,,Drama
442,2004,2.09,Biography
443,2007,5.99,Biography
444,1987,4.54,Drama
445,1972,1.74,Drama
446,1972,4.08,Mystery
447,2007,4.45,Animation
448,1962,,Drama
449,2008,1.5,Drama
450,2003,2.38,Drama
451,1998,0.35,Comedy
452,1995,,Drama
453,1954,,Drama
454,1940,0.2,Comedy
455,2018,0.03,Drama
456,1962,,Drama
457,1962,,Action
458,2014,0.9,Action
459,2010,0.1,Action
460,1949,,Comedy
461,1998,5.6,Drama
462,1945,,Drama
463,2004,,Adventure
464,2004,1.11,Action
465,1994,,Action
466,1963,,Drama
467,2016,1.78,Biography
468,2006,2.22,Comedy
469,2009,,Action
470,2001,,Comedy
471,2013,1.08,Crime
472,1997,659.33,Drama
473,2022,168.46,Animation
474,2019,165.36,Comedy
475,1997,26.4,Drama
476,2009,760.51,Action
477,2014,100.21,Action
478,2021,,Action
479,2004,249.36,Adventure
480,2016,100.55,Drama
481,2009,257.73,Action
482,2008,318.41,Action
483,2001,7.22,Drama
484,1993,75.08,Animation
485,2018,216.43,Biography
486,2019,33.37,Comedy
487,1993,12.28,Crime
488,2009,21.0,Animation
489,2000,32.53,Adventure
490,2012,17.74,Drama
491,1982,435.11,Adventure
492,2001,267.67,Animation
493,2017,315.06,Action
494,2004,13.54,Comedy
495,2003,90.14,Crime
496,2009,115.65,Action
497,2019,2.0,Drama
498,1980,57.23,Action
499,2006,35.55,Action
500,2008,7.76,Comedy
501,2014,233.92,Action
502,2013,27.3,Biography
503,1990,56.36,Drama
504,2014,25.38,Drama
505,2017,132.42,Drama
506,1964,14.5,Action
507,1985,9.93,Drama
508,1999,245.85,Animation
509,2012,124.99,Adventure
510,1984,4.74,Comedy
