,tconst_x,titleType,primaryTitle,startYear,genre_1,genre_2,genre_3,tconst_y,averageRating,numVotes,wr
1037261,tt10125752,movie,Bad Men from a Melting Moon,2020,Fantasy,,,tt2924484,8.0,1006.0,7.53
1037476,tt10126136,movie,Tribal Get Out Alive,2020,Action,Horror,Thriller,tt29256222,7.0,33.0,7.06
1037628,tt10126434,movie,Scare Me,2020,Comedy,Horror,,tt2926064,5.9,10.0,7.05
1037812,tt10126780,movie,Kazka staroho melnyka,2020,Family,,,tt29270218,6.0,6.0,7.06
1038165,tt10127410,movie,Stolen Identity 2,2020,Drama,Mystery,Thriller,tt29291631,6.8,260.0,7.01
1038211,tt10127518,movie,Norie,2020,Documentary,,,tt29293452,8.6,94.0,7.2
1038293,tt10127684,movie,Rogue City,2020,Action,Crime,Drama,tt29295131,7.3,50.0,7.08
1038307,tt10127708,movie,Valley of the Dead,2020,Action,Comedy,Horror,tt29295391,9.8,54.0,7.21
1038338,tt10127760,movie,Ribanje i ribarsko prigovaranje,2020,Biography,Drama,Romance,tt29296153,5.7,6.0,7.06
1040144,tt10131028,movie,Honesty Weekend,2020,Comedy,,,tt2938986,7.5,21.0,7.07
1040710,tt10132068,movie,Marygoround,2020,Drama,,,tt29427860,5.4,9.0,7.05
1040779,tt10132196,movie,Zenek,2020,Biography,Music,,tt29429832,8.4,5.0,7.07
1040942,tt10132488,movie,Sakura,2020,Drama,Family,,tt29436996,6.2,2331.0,6.46
1041213,tt10132976,movie,The Salt of Tears,2020,Drama,Romance,,tt29451867,7.7,153.0,7.15
1042917,tt10136110,movie,Pink Thief,2020,Comedy,,,tt2952576,8.1,112.0,7.17
1043096,tt10136434,movie,Zieja,2020,Drama,,,tt29537749,5.9,351.0,6.76
1043961,tt10138068,movie,Schmetterlinge,2020,Drama,Romance,,tt2958510,8.5,61.0,7.15
1045082,tt10140014,movie,Mr. Hand Solo,2020,Documentary,,,tt29634572,6.7,19.0,7.06
1046903,tt10143308,movie,Tout nous sourit,2020,Comedy,,,tt2976140,7.1,65.0,7.07
1047433,tt10144276,movie,Y. Köyü Ye'cüc Me'cüc,2020,Horror,,,tt29797628,8.3,30.0,7.1
1048485,tt10146208,movie,On the Edge,2020,Drama,Sport,,tt2989982,6.5,12.0,7.06
1049241,tt10147568,movie,Unleashed,2020,Action,,,tt29940843,9.0,11.0,7.09
1049254,tt10147590,movie,Cerro Torre,2020,Documentary,Drama,,tt29941161,7.7,6.0,7.07
1049426,tt10147910,movie,The Maid,2020,Drama,Horror,Mystery,tt29954304,5.2,17.0,7.03
1049433,tt10147924,movie,Deus Vult - Gott will es!,2020,Drama,War,,tt29957180,6.0,18.0,7.05
1049545,tt10148118,movie,Behind the Line: Escape to Dunkirk,2020,Action,Drama,Sport,tt2996302,7.7,8.0,7.07
1050102,tt10149080,movie,The League of 5,2020,Action,Animation,Comedy,tt3001440,6.8,42.0,7.06
1050587,tt10149938,movie,499,2020,Documentary,Drama,History,tt3003980,3.7,329.0,6.23
1050741,tt10150204,movie,Go-Boy! Memories of a Life Behind Bars,2020,Biography,Crime,Documentary,tt30052225,5.3,118.0,6.88
1051123,tt10150920,movie,Green Summer,2020,Drama,,,tt3007892,8.4,34.0,7.11
1051188,tt10151048,movie,Driftless,2020,Adventure,Crime,Drama,tt30087806,5.6,5.0,7.06
1051192,tt10151054,movie,The Quarry,2020,Crime,Mystery,Thriller,tt3008808,7.8,24.0,7.08
1051515,tt10151656,movie,The 11th Green,2020,Drama,History,Sci-Fi,tt3012236,7.5,12.0,7.07
1052031,tt10152582,movie,Rajeeva,2020,Drama,,,tt30146774,9.2,12.0,7.09
1052113,tt10152722,movie,My Wonderful Wanda,2020,Comedy,Drama,,tt30151030,10.0,206.0,7.57
1052126,tt10152746,movie,Justice League: Invasion,2020,Action,Animation,,tt30151562,7.7,767.0,7.34
1052574,tt10153510,movie,Corazón ardiente,2020,Drama,,,tt3020196,8.4,8.0,7.08
1052756,tt10153822,movie,Por Detrás da Moeda,2020,Documentary,,,tt3021620,5.0,8.0,7.05
1053514,tt10155220,movie,Weirdo: The Story of Five Eight,2020,Documentary,,,tt3026314,7.9,16.0,7.08
1053860,tt10155896,movie,One Meal,2020,Drama,,,tt30290974,7.4,10.0,7.07
1053972,tt10156122,movie,Vnutrenniy ogon,2020,Drama,,,tt3029800,8.1,12.0,7.08
1054235,tt10156584,movie,The Sound of Identity,2020,Documentary,,,tt30319916,7.7,35.0,7.09
1054935,tt10157810,movie,Fjols til fjells,2020,Comedy,,,tt3038378,7.9,270.0,7.24
1056458,tt10160514,movie,On the Road to San Juan,2020,Documentary,,,tt30474290,6.8,6.0,7.06
1057170,tt10161886,movie,The Prom,2020,Comedy,Drama,Musical,tt3054538,7.3,9.0,7.07
